product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price,comp1_diff,comp2_diff,comp3_diff,fp1_diff,fp2_diff,fp3_diff
bed1,bed_bath_table,01-05-2017,1,45.95,15.1,45.95,39,161,2,350,4.0,57,23,8,1,5,2017,10.26739356,3800,89.9,3.9,15.01189655,215.0,4.4,8.76,45.95,4.0,15.1,45.9,-43.95,-169.05,0.0,0.0881034500000002,6.34,0.0
bed1,bed_bath_table,01-06-2017,3,137.85,12.93333333,45.95,39,161,2,350,4.0,61,22,8,1,6,2017,6.503115265,3800,89.9,3.9,14.76921569,209.0,4.4,21.322,45.95,4.0,12.93333333,45.95,-43.95,-163.05,0.0,-1.8358823599999994,-8.38866667,0.0
bed1,bed_bath_table,01-07-2017,6,275.7,14.84,45.95,39,161,2,350,4.0,123,21,10,1,7,2017,12.07165109,3800,89.9,3.9,13.99383333,205.0,4.4,22.1959322,45.95,4.0,14.84,45.95,-43.95,-159.05,0.0,0.8461666700000006,-7.355932200000002,0.0
bed1,bed_bath_table,01-08-2017,4,183.8,14.2875,45.95,39,161,2,350,4.0,90,23,8,1,8,2017,9.293873313,3800,89.9,3.9,14.65675676,199.5098039,4.4,19.41288462,45.95,4.0,14.2875,45.95,-43.95,-153.55980390000002,0.0,-0.36925676000000074,-5.12538462,0.0
bed1,bed_bath_table,01-09-2017,2,91.9,15.1,45.95,39,161,2,350,4.0,54,21,9,1,9,2017,5.555555556,3800,89.9,3.9,18.77652174,163.3987097,4.4,24.3246875,45.95,4.0,15.1,45.95,-43.95,-117.44870970000001,0.0,-3.67652174,-9.2246875,0.0
bed1,bed_bath_table,01-10-2017,3,137.85,15.1,45.95,39,161,2,350,4.0,50,22,9,2,10,2017,8.333333333,3800,89.9,3.9,21.57214286,45.95,4.0,15.1,45.95,4.0,15.1,45.95,-43.95,0.0,0.0,-6.47214286,0.0,0.0
bed1,bed_bath_table,01-11-2017,11,445.85,15.83272727,40.53181818,39,161,2,350,4.0,97,22,8,4,11,2017,30.55555556,3800,89.9,3.9,16.294,40.53181818,4.0,15.83272727,40.53181818,4.0,15.83272727,45.95,-49.368181820000004,0.0,0.0,-0.461272730000001,0.0,0.0
bed1,bed_bath_table,01-12-2017,6,239.94,15.23,39.99,39,161,2,350,4.0,41,21,10,1,12,2017,16.66666667,3800,88.48823529,3.9,18.89833333,39.99,4.0,15.23,39.99,4.0,15.23,40.53181818,-48.498235290000004,0.0,0.0,-3.6683333299999994,0.0,0.0
bed1,bed_bath_table,01-01-2018,19,759.81,16.53368421,39.99,39,161,2,350,4.0,62,23,8,2,1,2018,17.75700935,3800,86.9,3.9,19.38352941,39.99,4.0,16.53368421,39.99,4.0,16.53368421,39.99,-46.910000000000004,0.0,0.0,-2.8498452000000007,0.0,0.0
bed1,bed_bath_table,01-02-2018,18,719.82,13.74944444,39.99,39,161,2,350,4.0,62,20,8,2,2,2018,16.82242991,3800,86.9,3.9,19.20909091,39.99,4.0,13.74944444,39.99,4.0,13.74944444,39.99,-46.910000000000004,0.0,0.0,-5.459646470000001,0.0,0.0
bed1,bed_bath_table,01-03-2018,17,679.83,16.46235294,39.99,39,161,2,350,4.0,43,22,9,1,3,2018,15.88785047,3800,86.9,3.9,19.98235294,39.99,4.0,16.46235294,39.99,4.0,16.46235294,39.99,-46.910000000000004,0.0,0.0,-3.5199999999999996,0.0,0.0
bed1,bed_bath_table,01-04-2018,13,519.87,14.23615385,39.99,39,161,2,350,4.0,34,21,9,1,4,2018,12.14953271,3800,85.045,3.9,12.94,39.99,4.0,14.23615385,39.99,4.0,14.23615385,39.99,-45.055,0.0,0.0,1.2961538500000014,0.0,0.0
bed1,bed_bath_table,01-05-2018,19,759.81,10.25631579,39.99,39,161,2,350,4.0,57,23,8,3,5,2018,10.26739356,3800,83.64961538,3.9,16.78038462,39.99,4.0,10.25631579,39.99,4.0,10.25631579,39.99,-43.65961538,0.0,0.0,-6.524068829999999,0.0,0.0
bed1,bed_bath_table,01-06-2018,5,199.95,13.998,39.99,39,161,2,350,4.0,43,21,9,0,6,2018,6.503115265,3800,79.9,3.9,23.00565217,39.99,4.0,13.998,39.99,4.0,13.998,39.99,-39.910000000000004,0.0,0.0,-9.007652170000002,0.0,0.0
bed1,bed_bath_table,01-07-2018,8,319.92,20.4175,39.99,39,161,2,350,4.0,26,22,9,1,7,2018,12.07165109,3800,77.93333333,3.9,19.952,39.99,4.0,20.4175,39.99,4.0,20.4175,39.99,-37.943333329999994,0.0,0.0,0.4654999999999987,0.0,0.0
bed1,bed_bath_table,01-08-2018,8,313.92,16.33375,39.24,39,161,2,350,4.0,15,23,8,1,8,2018,9.293873313,3800,74.0,3.9,17.25571429,39.24,4.0,16.33375,39.24,4.0,16.33375,39.99,-34.76,0.0,0.0,-0.9219642900000018,0.0,0.0
garden5,garden_tools,01-03-2017,6,419.4,32.68,69.9,36,450,1,9000,4.1,21,23,8,1,3,2017,9.107142857,19656,69.9,4.1,32.68,69.9,4.1,32.68,69.9,4.1,32.68,69.85,0.0,0.0,0.0,0.0,0.0,0.0
garden5,garden_tools,01-04-2017,3,247.9,34.21666667,82.63333333,36,450,1,9000,4.1,17,20,10,2,4,2017,7.678571429,19656,82.63333333,4.1,34.21666667,82.63333333,4.1,34.21666667,82.63333333,4.1,34.21666667,69.9,0.0,0.0,0.0,0.0,0.0,0.0
garden5,garden_tools,01-05-2017,20,1956.0,39.8975,97.58823529,36,450,1,9000,4.1,34,23,8,1,5,2017,19.04761905,19656,59.9,4.1,19.7325,59.9,4.2,26.24666667,97.58823529,4.1,39.8975,82.63333333,37.68823529,37.68823529,0.0,20.165,13.650833330000001,0.0
garden5,garden_tools,01-06-2017,8,712.0,40.80125,89.0,36,450,1,9000,4.1,26,22,8,1,6,2017,7.619047619,19656,59.9,4.1,17.67,59.9,4.2,16.26,89.0,4.1,40.80125,97.58823529,29.1,29.1,0.0,23.13125,24.54125,0.0
garden5,garden_tools,01-07-2017,10,890.0,39.156,89.0,36,450,1,9000,4.1,74,21,10,1,7,2017,9.523809524,19656,59.9,4.1,16.62642857,59.9,4.2,16.11157895,59.9,4.1,15.39230769,89.0,29.1,29.1,29.1,22.529571429999997,23.04442105,23.763692309999996
garden5,garden_tools,01-08-2017,7,683.0,39.5,97.33333333,36,450,1,9000,4.1,113,23,8,1,8,2017,6.666666667,19656,59.9,4.1,18.16230769,59.9,4.2,17.68111111,59.9,4.1,18.05043478,89.0,37.43333333,37.43333333,37.43333333,21.33769231,21.81888889,21.44956522
garden5,garden_tools,01-09-2017,9,891.0,39.01888889,99.0,36,450,1,9000,4.1,115,21,9,1,9,2017,8.571428571,19656,59.9,4.1,17.18702703,59.9,4.2,16.81176471,59.9,4.1,16.29461538,97.33333333,39.1,39.1,39.1,21.83186186,22.20712418,22.72427351
garden5,garden_tools,01-10-2017,14,1386.0,45.77642857,99.0,36,450,1,9000,4.1,146,22,9,2,10,2017,13.33333333,19656,59.9,4.1,18.06589744,59.9,4.2,17.59548387,59.9,4.1,16.81416667,99.0,39.1,39.1,39.1,27.71053113,28.1809447,28.9622619
garden5,garden_tools,01-11-2017,17,1683.0,32.86352941,99.0,36,450,1,9000,4.1,339,22,8,4,11,2017,16.19047619,19656,52.40694444,4.1,17.06747253,53.64828125,4.2,16.07586207,53.78571429,4.1,18.27550725,99.0,46.59305556,45.35171875,45.21428571,15.796056879999998,16.78766734,14.588022159999998
garden5,garden_tools,01-12-2017,11,1089.0,38.05545455,99.0,36,450,1,9000,4.1,184,21,10,1,12,2017,10.47619048,19656,55.1,4.1,15.75960784,55.425,4.2,19.184375,55.75,4.1,17.26727273,99.0,43.9,43.575,43.25,22.29584671,18.87107955,20.788181820000002
garden5,garden_tools,01-01-2018,4,398.0,41.54,99.5,36,450,1,9000,4.1,137,23,8,2,1,2018,50.0,19656,49.9,4.1,19.495,49.9,4.2,15.84103448,49.9,4.1,16.50512821,99.0,49.6,49.6,49.6,22.044999999999998,25.69896552,25.03487179
garden5,garden_tools,01-02-2018,2,202.0,43.555,101.0,36,450,1,9000,4.1,160,20,8,2,2,2018,25.0,19656,50.54516129,4.1,16.61153846,50.9,4.2,17.51944444,50.35714286,4.1,18.281875,99.5,50.45483871,50.1,50.64285714,26.94346154,26.03555556,25.273125
garden5,garden_tools,01-03-2018,1,101.0,67.02,101.0,36,450,1,9000,4.1,116,22,9,1,3,2018,9.107142857,19656,53.9,4.1,20.35967742,53.9,4.2,21.85285714,53.9,4.1,19.02423077,101.0,47.1,47.1,47.1,46.66032258,45.16714286,47.99576922999999
garden5,garden_tools,01-04-2018,1,101.0,79.76,101.0,36,450,1,9000,4.1,111,21,9,1,4,2018,7.678571429,19656,53.9,4.1,5.28173913,53.9,4.2,19.46846154,53.9,4.1,19.07142857,101.0,47.1,47.1,47.1,74.47826087,60.291538460000005,60.68857143000001
consoles1,consoles_games,01-07-2017,13,258.7,13.47307692,19.9,49,100,4,150,4.2,13,21,10,1,7,2017,7.59180791,2304,19.9,4.2,13.47307692,19.9,3.9,11.85,19.9,4.2,13.47307692,19.85,0.0,0.0,0.0,0.0,1.6230769200000008,0.0
consoles1,consoles_games,01-08-2017,24,477.6,16.16375,19.9,49,100,4,150,4.2,33,23,8,1,8,2017,20.33898305,2304,19.9,4.2,16.16375,19.9,3.9,15.83272727,19.9,4.2,16.16375,19.9,0.0,0.0,0.0,0.0,0.3310227300000008,0.0
consoles1,consoles_games,01-09-2017,9,179.1,16.13333333,19.9,49,100,4,150,4.2,17,21,9,1,9,2017,7.627118644,2304,19.9,4.2,16.13333333,19.9,3.9,15.41111111,19.9,4.2,16.13333333,19.9,0.0,0.0,0.0,0.0,0.722222219999999,0.0
consoles1,consoles_games,01-10-2017,28,603.2,13.53428571,21.54285714,49,100,4,150,4.2,38,22,9,2,10,2017,23.72881356,2304,21.54285714,4.2,13.53428571,20.66666667,3.9,12.80333333,21.54285714,4.2,13.53428571,19.9,0.0,0.8761904699999974,0.0,0.0,0.7309523800000015,0.0
consoles1,consoles_games,01-11-2017,28,686.0,13.64535714,24.5,49,100,4,150,4.2,49,22,8,4,11,2017,23.72881356,2304,24.5,4.2,13.64535714,24.5,3.9,13.65217391,24.5,4.2,13.64535714,21.54285714,0.0,0.0,0.0,0.0,-0.006816770000000361,0.0
consoles1,consoles_games,01-12-2017,16,392.0,12.87375,24.5,49,100,4,150,4.2,30,21,10,1,12,2017,13.55932203,2304,24.5,4.2,12.87375,24.5,3.9,13.52470588,24.5,4.2,12.87375,24.5,0.0,0.0,0.0,0.0,-0.6509558800000015,0.0
consoles1,consoles_games,01-02-2018,5,162.5,15.256,32.5,49,100,4,150,4.2,6,20,8,2,2,2018,20.83333333,2304,32.5,4.2,15.256,32.5,3.9,11.85,32.5,4.2,15.256,32.45,0.0,0.0,0.0,0.0,3.4060000000000006,0.0
consoles1,consoles_games,01-03-2018,6,195.0,18.05666667,32.5,49,100,4,150,4.2,13,22,9,1,3,2018,25.0,2304,32.5,4.2,18.05666667,32.74285714,3.9,14.02714286,32.5,4.2,18.05666667,32.5,0.0,-0.24285713999999814,0.0,0.0,4.029523809999999,0.0
consoles1,consoles_games,01-04-2018,7,245.4,12.98571429,35.05714286,49,100,4,150,4.2,13,21,9,1,4,2018,29.16666667,2304,35.05714286,4.2,12.98571429,34.2,3.9,15.015,35.05714286,4.2,12.98571429,32.5,0.0,0.8571428599999962,0.0,0.0,-2.02928571,0.0
consoles1,consoles_games,01-05-2018,3,108.6,15.87,36.2,49,100,4,150,4.2,3,23,8,3,5,2018,12.5,2304,36.2,4.2,15.87,36.2,4.2,15.87,36.2,4.2,15.87,35.05714286,0.0,0.0,0.0,0.0,0.0,0.0
consoles1,consoles_games,01-06-2018,2,72.4,18.35,36.2,49,100,4,150,4.2,2,21,9,0,6,2018,8.333333333,2304,36.2,4.2,18.35,36.2,4.2,18.35,36.2,4.2,18.35,36.2,0.0,0.0,0.0,0.0,0.0,0.0
consoles1,consoles_games,01-07-2018,1,36.2,22.18,36.2,49,100,4,150,4.2,1,22,9,1,7,2018,7.59180791,2304,36.2,4.2,22.18,36.2,4.2,22.18,36.2,4.2,22.18,36.2,0.0,0.0,0.0,0.0,0.0,0.0
garden7,garden_tools,01-04-2017,1,59.9,17.16,59.9,57,339,2,1800,4.2,17,20,10,2,4,2017,7.879612825,32560,59.9,4.2,17.16,59.9,4.2,17.16,59.9,4.2,17.16,59.85,0.0,0.0,0.0,0.0,0.0,0.0
garden7,garden_tools,01-05-2017,1,59.9,13.44,59.9,57,339,2,1800,4.2,34,23,8,1,5,2017,8.756805808,32560,59.9,4.1,19.7325,59.9,4.2,26.24666667,59.9,4.2,13.44,59.9,0.0,0.0,0.0,-6.292500000000002,-12.80666667,0.0
garden7,garden_tools,01-07-2017,4,239.6,17.67,59.9,57,339,2,1800,4.2,74,21,10,1,7,2017,8.711433757,32560,59.9,4.1,16.62642857,59.9,4.2,16.11157895,59.9,4.1,15.39230769,59.85,0.0,0.0,0.0,1.04357143,1.5584210500000033,2.277692310000001
garden7,garden_tools,01-08-2017,6,359.4,16.26,59.9,57,339,2,1800,4.2,113,23,8,1,8,2017,11.31276467,32560,59.9,4.1,18.16230769,59.9,4.2,17.68111111,59.9,4.1,18.05043478,59.9,0.0,0.0,0.0,-1.902307689999997,-1.4211111099999982,-1.7904347799999982
garden7,garden_tools,01-09-2017,5,299.5,16.782,59.9,57,339,2,1800,4.2,115,21,9,1,9,2017,8.620689655,32560,59.9,4.1,17.18702703,59.9,4.2,16.81176471,59.9,4.1,16.29461538,59.9,0.0,0.0,0.0,-0.4050270299999994,-0.029764709999998473,0.48738462000000027
garden7,garden_tools,01-10-2017,11,658.9,14.80727273,59.9,57,339,2,1800,4.2,146,22,9,2,10,2017,18.96551724,32560,59.9,4.1,18.06589744,59.9,4.2,17.59548387,59.9,4.1,16.81416667,59.9,0.0,0.0,0.0,-3.258624710000001,-2.7882111399999996,-2.0068939399999994
garden7,garden_tools,01-11-2017,20,1043.6,16.016,51.32222222,57,339,2,1800,4.2,339,22,8,4,11,2017,34.48275862,32560,52.40694444,4.1,17.06747253,53.64828125,4.2,16.07586207,53.78571429,4.1,18.27550725,59.9,-1.0847222199999962,-2.326059029999996,-2.463492070000001,-1.0514725300000016,-0.05986207000000121,-2.259507250000002
garden7,garden_tools,01-12-2017,10,571.8,18.103,56.97777778,57,339,2,1800,4.2,184,21,10,1,12,2017,17.24137931,32560,55.1,4.1,15.75960784,55.425,4.2,19.184375,55.75,4.1,17.26727273,51.32222222,1.8777777799999953,1.5527777799999996,1.2277777799999967,2.3433921600000023,-1.0813749999999978,0.8357272700000031
garden7,garden_tools,01-01-2018,11,548.9,21.98272727,49.9,57,339,2,1800,4.2,137,23,8,2,1,2018,19.29824561,32560,49.9,4.1,19.495,49.9,4.2,15.84103448,49.9,4.1,16.50512821,56.97777778,0.0,0.0,0.0,2.4877272700000006,6.141692790000002,5.477599060000003
garden7,garden_tools,01-02-2018,8,411.2,14.08375,51.4,57,339,2,1800,4.2,160,20,8,2,2,2018,14.03508772,32560,50.54516129,4.1,16.61153846,50.9,4.2,17.51944444,50.35714286,4.1,18.281875,49.9,0.8548387099999957,0.5,1.0428571399999953,-2.5277884599999982,-3.4356944400000007,-4.198124999999999
garden7,garden_tools,01-03-2018,3,161.7,21.35,53.9,57,339,2,1800,4.2,116,22,9,1,3,2018,5.263157895,32560,53.9,4.1,20.35967742,53.9,4.2,21.85285714,53.9,4.1,19.02423077,51.4,0.0,0.0,0.0,0.9903225800000008,-0.5028571399999997,2.3257692300000024
garden7,garden_tools,01-04-2018,8,431.2,19.56375,53.9,57,339,2,1800,4.2,111,21,9,1,4,2018,7.879612825,32560,53.9,4.1,5.28173913,53.9,4.2,19.46846154,53.9,4.1,19.07142857,53.9,0.0,0.0,0.0,14.282010869999999,0.09528845999999902,0.4923214300000005
